ID,AGE,GENDER,RACE,DRIVING_EXPERIENCE,EDUCATION,INCOME,CREDIT_SCORE,VEHICLE_OWNERSHIP,VEHICLE_YEAR,MARRIED,CHILDREN,POSTAL_CODE,ANNUAL_MILEAGE,VEHICLE_TYPE,SPEEDING_VIOLATIONS,DUIS,PAST_ACCIDENTS,OUTCOME,DATA_ORIGIN
2000000,26-39,male,majority,10-19y,university,upper class,0.4996337688660024,1.0,after 2015,1.0,1.0,10238,,sedan,1,1,3,0.0,additional_training_bootstrap_from_real_train
2000001,40-64,female,majority,20-29y,university,upper class,,1.0,before 2015,1.0,0.0,10238,,sedan,0,0,2,0.0,additional_training_bootstrap_from_real_train
2000002,65+,male,majority,30y+,university,upper class,0.7244869628614676,1.0,after 2015,1.0,1.0,10238,12000.0,sedan,6,1,3,0.0,additional_training_bootstrap_from_real_train
2000003,26-39,male,majority,10-19y,university,middle class,0.4038738668665778,1.0,after 2015,0.0,1.0,10238,15000.0,sedan,1,0,0,0.0,additional_training_bootstrap_from_real_train
2000004,26-39,male,majority,10-19y,none,poverty,0.3988065653853319,0.0,before 2015,1.0,0.0,32765,8000.0,sedan,4,0,0,1.0,additional_training_bootstrap_from_real_train
2000005,26-39,male,majority,10-19y,high school,middle class,0.4369648248142893,1.0,before 2015,1.0,0.0,10238,9000.0,sedan,1,0,1,1.0,additional_training_bootstrap_from_real_train
2000006,40-64,female,majority,10-19y,university,middle class,0.588240239675542,0.0,after 2015,0.0,1.0,10238,16000.0,sedan,0,0,1,0.0,additional_training_bootstrap_from_real_train
2000007,65+,female,majority,10-19y,university,upper class,0.5848934178934408,1.0,after 2015,1.0,0.0,10238,12000.0,sedan,2,0,0,0.0,additional_training_bootstrap_from_real_train
2000008,65+,female,majority,30y+,university,upper class,0.5054256303588411,1.0,before 2015,1.0,1.0,10238,9000.0,sedan,4,1,0,0.0,additional_training_bootstrap_from_real_train
2000009,65+,male,majority,30y+,high school,upper class,0.5360526546947815,1.0,before 2015,0.0,0.0,32765,14000.0,sedan,11,5,2,0.0,additional_training_bootstrap_from_real_train
2000010,65+,female,majority,10-19y,university,upper class,0.6273248951416136,1.0,after 2015,1.0,1.0,10238,6000.0,sedan,0,0,1,0.0,additional_training_bootstrap_from_real_train
2000011,65+,male,majority,30y+,university,upper class,0.6213946273294794,0.0,after 2015,1.0,1.0,10238,9000.0,sedan,5,1,6,0.0,additional_training_bootstrap_from_real_train
2000012,16-25,female,majority,0-9y,none,poverty,0.5391018376969258,1.0,before 2015,0.0,1.0,92101,9000.0,sedan,0,0,0,1.0,additional_training_bootstrap_from_real_train
2000013,65+,male,majority,30y+,university,upper class,0.5571016855346206,1.0,after 2015,0.0,1.0,10238,10000.0,sedan,9,0,3,0.0,additional_training_bootstrap_from_real_train
2000014,40-64,male,majority,0-9y,high school,upper class,0.5565157388101949,1.0,before 2015,1.0,1.0,10238,9000.0,sports car,0,0,0,1.0,additional_training_bootstrap_from_real_train
2000015,26-39,female,majority,10-19y,university,middle class,0.5270502779694257,1.0,before 2015,1.0,0.0,10238,14000.0,sedan,0,0,0,1.0,additional_training_bootstrap_from_real_train
2000016,26-39,male,majority,10-19y,university,upper class,0.6364490959261638,1.0,before 2015,1.0,1.0,10238,,sedan,0,1,4,0.0,additional_training_bootstrap_from_real_train
2000017,16-25,male,majority,0-9y,university,middle class,0.4350460544954154,1.0,after 2015,0.0,1.0,32765,10000.0,sedan,0,0,0,0.0,additional_training_bootstrap_from_real_train
2000018,16-25,female,majority,0-9y,high school,poverty,,0.0,before 2015,0.0,0.0,10238,,sedan,0,0,0,1.0,additional_training_bootstrap_from_real_train
2000019,26-39,female,majority,0-9y,high school,middle class,0.5891423791815076,0.0,after 2015,1.0,1.0,10238,10000.0,sedan,0,0,0,0.0,additional_training_bootstrap_from_real_train
2000020,40-64,male,majority,0-9y,university,upper class,0.5836705952546154,1.0,after 2015,0.0,1.0,10238,16000.0,sedan,0,0,0,1.0,additional_training_bootstrap_from_real_train
2000021,16-25,female,majority,0-9y,university,middle class,0.7212331977911265,0.0,after 2015,0.0,0.0,10238,15000.0,sedan,0,0,0,1.0,additional_training_bootstrap_from_real_train
2000022,26-39,female,majority,10-19y,high school,upper class,0.5095717000423156,0.0,after 2015,0.0,1.0,32765,10000.0,sedan,2,0,0,0.0,additional_training_bootstrap_from_real_train
2000023,40-64,male,majority,20-29y,university,upper class,0.737481662297617,1.0,before 2015,0.0,0.0,10238,11000.0,sedan,2,0,7,0.0,additional_training_bootstrap_from_real_train
2000024,40-64,male,majority,20-29y,none,working class,0.4919497683527119,1.0,before 2015,1.0,1.0,10238,7000.0,sedan,3,1,3,0.0,additional_training_bootstrap_from_real_train
2000025,65+,female,majority,30y+,high school,upper class,0.426949153464342,1.0,before 2015,1.0,1.0,32765,6000.0,sedan,6,1,2,0.0,additional_training_bootstrap_from_real_train
2000026,40-64,female,majority,20-29y,university,upper class,,0.0,before 2015,0.0,1.0,10238,11000.0,sedan,3,0,3,0.0,additional_training_bootstrap_from_real_train
2000027,26-39,male,majority,10-19y,university,upper class,0.6742767504980904,1.0,before 2015,1.0,1.0,10238,8000.0,sedan,2,0,1,0.0,additional_training_bootstrap_from_real_train
2000028,26-39,male,majority,10-19y,high school,middle class,0.4543004585826299,1.0,before 2015,0.0,0.0,10238,16000.0,sedan,1,0,2,0.0,additional_training_bootstrap_from_real_train
2000029,16-25,male,majority,0-9y,high school,working class,0.4892944608830924,0.0,before 2015,1.0,0.0,10238,17000.0,sedan,0,0,0,1.0,additional_training_bootstrap_from_real_train
2000030,40-64,female,majority,20-29y,high school,middle class,0.6542522695839297,1.0,before 2015,1.0,1.0,10238,14000.0,sedan,0,0,5,0.0,additional_training_bootstrap_from_real_train
2000031,26-39,female,majority,10-19y,university,middle class,0.6464070899737208,1.0,before 2015,0.0,1.0,32765,9000.0,sedan,4,0,1,1.0,additional_training_bootstrap_from_real_train
2000032,26-39,female,majority,10-19y,high school,middle class,0.6058083800020564,1.0,before 2015,0.0,1.0,32765,12000.0,sedan,2,0,0,1.0,additional_training_bootstrap_from_real_train
2000033,40-64,male,majority,0-9y,none,working class,0.2750996000343182,1.0,before 2015,1.0,1.0,32765,8000.0,sedan,0,0,0,1.0,additional_training_bootstrap_from_real_train
2000034,16-25,male,majority,0-9y,university,upper class,0.6345771810275116,1.0,before 2015,0.0,1.0,10238,10000.0,sedan,0,0,0,1.0,additional_training_bootstrap_from_real_train
2000035,65+,male,majority,30y+,high school,upper class,0.5915099991988411,1.0,before 2015,1.0,1.0,10238,11000.0,sports car,1,0,4,0.0,additional_training_bootstrap_from_real_train
2000036,40-64,female,majority,0-9y,none,poverty,0.4112607340361535,0.0,before 2015,1.0,1.0,10238,11000.0,sedan,0,0,0,1.0,additional_training_bootstrap_from_real_train
2000037,26-39,male,majority,10-19y,university,middle class,,1.0,after 2015,1.0,1.0,10238,12000.0,sedan,1,0,1,0.0,additional_training_bootstrap_from_real_train
2000038,26-39,female,minority,0-9y,none,poverty,0.2828694808711571,0.0,before 2015,1.0,0.0,10238,13000.0,sports car,0,0,0,1.0,additional_training_bootstrap_from_real_train
2000039,40-64,male,majority,0-9y,university,upper class,0.6167520788507199,1.0,before 2015,0.0,1.0,32765,,sedan,0,0,0,0.0,additional_training_bootstrap_from_real_train
2000040,65+,male,majority,10-19y,high school,upper class,0.4784375832901694,1.0,after 2015,1.0,1.0,10238,11000.0,sedan,0,0,1,0.0,additional_training_bootstrap_from_real_train
2000041,26-39,male,majority,10-19y,high school,middle class,,1.0,before 2015,0.0,1.0,32765,12000.0,sedan,5,0,1,1.0,additional_training_bootstrap_from_real_train
2000042,65+,female,majority,20-29y,university,upper class,0.6547218915043161,0.0,after 2015,1.0,1.0,10238,,sedan,0,0,0,0.0,additional_training_bootstrap_from_real_train
2000043,40-64,male,majority,0-9y,high school,middle class,0.5535588872675963,1.0,before 2015,1.0,1.0,10238,12000.0,sedan,0,0,0,1.0,additional_training_bootstrap_from_real_train
2000044,26-39,male,majority,10-19y,high school,poverty,0.3223173351774892,1.0,before 2015,0.0,0.0,10238,,sports car,2,0,1,0.0,additional_training_bootstrap_from_real_train
2000045,65+,male,majority,10-19y,high school,upper class,0.7651678828229611,1.0,before 2015,1.0,1.0,10238,9000.0,sedan,0,1,0,0.0,additional_training_bootstrap_from_real_train
2000046,40-64,female,majority,20-29y,high school,upper class,,1.0,after 2015,1.0,0.0,32765,11000.0,sedan,0,2,0,0.0,additional_training_bootstrap_from_real_train
2000047,65+,female,majority,30y+,high school,middle class,0.4633068402079281,1.0,after 2015,1.0,1.0,32765,7000.0,sedan,2,1,1,0.0,additional_training_bootstrap_from_real_train
2000048,26-39,male,majority,0-9y,high school,poverty,0.2174647666581726,1.0,before 2015,1.0,1.0,10238,9000.0,sedan,0,0,0,1.0,additional_training_bootstrap_from_real_train
2000049,40-64,female,majority,0-9y,university,middle class,0.5327435769003523,0.0,before 2015,1.0,1.0,10238,16000.0,sedan,0,0,0,1.0,additional_training_bootstrap_from_real_train
2000050,16-25,female,majority,0-9y,high school,poverty,0.4785171808870951,0.0,before 2015,0.0,0.0,32765,,sedan,0,0,0,1.0,additional_training_bootstrap_from_real_train
