ID,AGE,GENDER,RACE,DRIVING_EXPERIENCE,EDUCATION,INCOME,CREDIT_SCORE,VEHICLE_OWNERSHIP,VEHICLE_YEAR,MARRIED,CHILDREN,POSTAL_CODE,ANNUAL_MILEAGE,VEHICLE_TYPE,SPEEDING_VIOLATIONS,DUIS,PAST_ACCIDENTS,OUTCOME,DATA_ORIGIN
569520,65+,female,majority,0-9y,high school,upper class,0.629027313918201,1.0,after 2015,0.0,1.0,10238,12000.0,sedan,0,0,0,0.0,real_source
750365,16-25,male,majority,0-9y,none,poverty,0.3577571170184627,0.0,before 2015,0.0,0.0,10238,16000.0,sedan,0,0,0,1.0,real_source
199901,16-25,female,majority,0-9y,high school,working class,0.4931457852181982,1.0,before 2015,0.0,0.0,10238,11000.0,sedan,0,0,0,0.0,real_source
478866,16-25,male,majority,0-9y,university,working class,0.2060128507324556,1.0,before 2015,0.0,1.0,32765,11000.0,sedan,0,0,0,0.0,real_source
877557,40-64,female,majority,20-29y,high school,upper class,0.6191273725847388,1.0,after 2015,0.0,1.0,10238,13000.0,sedan,3,0,3,0.0,real_source
275820,65+,male,majority,30y+,high school,upper class,0.6203612640126029,1.0,after 2015,1.0,1.0,10238,10000.0,sedan,6,2,7,0.0,real_source
429728,40-64,male,majority,20-29y,high school,upper class,0.6370447435902447,1.0,before 2015,1.0,1.0,10238,8000.0,sedan,4,1,2,0.0,real_source
569640,16-25,female,majority,0-9y,university,upper class,0.59125997174597,1.0,before 2015,0.0,1.0,10238,,sedan,0,0,0,0.0,real_source
906223,26-39,female,majority,0-9y,high school,upper class,0.7627979410816134,0.0,after 2015,1.0,0.0,10238,,sedan,0,0,0,0.0,real_source
517747,65+,male,majority,30y+,university,upper class,0.7961748462456987,1.0,before 2015,1.0,1.0,32765,,sedan,10,2,1,0.0,real_source
24851,16-25,male,majority,0-9y,none,poverty,,0.0,before 2015,1.0,0.0,32765,12000.0,sedan,0,0,0,1.0,real_source
104086,26-39,female,majority,0-9y,university,upper class,0.6805942795073384,1.0,before 2015,0.0,1.0,32765,,sedan,0,0,0,1.0,real_source
240658,16-25,female,majority,0-9y,high school,working class,0.4177139816231188,1.0,before 2015,0.0,1.0,10238,18000.0,sedan,0,0,0,1.0,real_source
484399,16-25,female,majority,0-9y,high school,working class,0.4095135306516067,0.0,before 2015,0.0,0.0,10238,17000.0,sedan,0,0,0,1.0,real_source
912828,16-25,male,majority,0-9y,high school,middle class,0.5532600531952381,1.0,after 2015,1.0,1.0,32765,8000.0,sedan,0,0,0,1.0,real_source
892754,40-64,male,majority,20-29y,none,poverty,0.3309502618581893,1.0,before 2015,1.0,1.0,10238,13000.0,sedan,3,1,1,0.0,real_source
217,16-25,male,majority,0-9y,none,poverty,,0.0,before 2015,0.0,0.0,10238,17000.0,sedan,0,0,0,0.0,real_source
389792,65+,male,majority,0-9y,university,upper class,0.649820471216227,1.0,after 2015,1.0,1.0,32765,9000.0,sedan,0,0,0,1.0,real_source
642614,40-64,male,majority,20-29y,high school,middle class,0.5218044346397632,1.0,after 2015,1.0,1.0,92101,7000.0,sedan,2,0,1,0.0,real_source
951465,65+,female,majority,30y+,university,upper class,0.7012683240604196,1.0,before 2015,1.0,1.0,10238,10000.0,sedan,3,1,1,0.0,real_source
732437,16-25,male,majority,0-9y,none,poverty,0.3184419972124171,1.0,before 2015,0.0,1.0,32765,10000.0,sedan,0,0,0,1.0,real_source
146897,26-39,female,majority,0-9y,high school,middle class,0.6046842696715551,1.0,before 2015,1.0,1.0,21217,11000.0,sedan,0,0,0,1.0,real_source
316173,16-25,male,majority,0-9y,university,working class,0.5049948526440377,0.0,after 2015,0.0,0.0,32765,8000.0,sedan,0,0,0,1.0,real_source
429947,65+,male,majority,30y+,university,upper class,,0.0,after 2015,0.0,1.0,10238,12000.0,sports car,6,0,5,0.0,real_source
485660,40-64,male,majority,10-19y,university,upper class,0.5781305873212035,1.0,before 2015,0.0,1.0,92101,14000.0,sedan,1,0,1,0.0,real_source
80496,65+,male,majority,30y+,high school,upper class,0.7054542902137054,1.0,before 2015,1.0,1.0,10238,10000.0,sedan,5,1,3,0.0,real_source
101678,26-39,female,majority,10-19y,high school,poverty,0.2857471319596469,0.0,before 2015,0.0,1.0,10238,13000.0,sedan,1,0,0,1.0,real_source
231661,40-64,male,majority,20-29y,high school,middle class,0.5022849652731057,0.0,before 2015,0.0,0.0,10238,14000.0,sports car,3,0,4,0.0,real_source
105372,26-39,female,minority,10-19y,none,working class,0.5039497598168121,0.0,before 2015,0.0,1.0,10238,14000.0,sedan,1,0,0,0.0,real_source
888828,40-64,male,majority,20-29y,university,upper class,0.6586274302571438,1.0,before 2015,1.0,0.0,10238,14000.0,sedan,3,0,2,0.0,real_source
370044,65+,male,majority,20-29y,university,upper class,0.5531007570628673,0.0,after 2015,1.0,1.0,32765,7000.0,sedan,9,0,1,0.0,real_source
437535,26-39,female,majority,10-19y,high school,middle class,,1.0,after 2015,1.0,0.0,10238,15000.0,sedan,0,0,0,0.0,real_source
329536,16-25,female,majority,0-9y,high school,poverty,0.4613735917269193,0.0,before 2015,0.0,0.0,32765,9000.0,sedan,0,0,0,1.0,real_source
328531,40-64,female,majority,20-29y,university,middle class,0.3875569443647317,0.0,after 2015,0.0,1.0,32765,12000.0,sedan,2,0,1,0.0,real_source
131881,26-39,male,majority,10-19y,university,working class,0.5501250875743224,1.0,before 2015,0.0,0.0,10238,16000.0,sedan,0,1,0,0.0,real_source
839572,40-64,male,majority,20-29y,high school,working class,0.4529442316093683,0.0,before 2015,1.0,1.0,10238,12000.0,sedan,3,0,1,0.0,real_source
171578,26-39,male,majority,10-19y,university,upper class,,1.0,before 2015,1.0,1.0,10238,8000.0,sedan,2,0,1,0.0,real_source
589757,40-64,female,majority,20-29y,high school,upper class,0.5352743096602144,1.0,before 2015,1.0,1.0,92101,7000.0,sedan,2,0,0,0.0,real_source
788111,40-64,female,minority,20-29y,high school,poverty,0.4544471564329259,1.0,before 2015,1.0,1.0,10238,,sedan,1,0,1,0.0,real_source
