dataset,threshold,metric,ci_low,ci_high
validation,0.5,roc_auc,0.8696802472286985,0.9037845805820033
validation,0.5,accuracy,0.7948717948717948,0.8330206378986866
validation,0.5,precision,0.6398601398601399,0.717547440028643
validation,0.5,recall,0.733456206679269,0.806523105710201
validation,0.5,f1,0.6908752327746741,0.7511484887285144
validation,0.5,average_precision,0.7360317850550999,0.8133108944222801
validation,0.5,brier_score,0.11233471895639684,0.13218790443881623
final_test,0.3,roc_auc,0.8750292481220165,0.9054862407335572
final_test,0.3,accuracy,0.8055972013993004,0.8385807096451774
final_test,0.3,precision,0.6455521683642336,0.7108284091781136
final_test,0.3,recall,0.7913174465533169,0.8517299487056891
final_test,0.3,f1,0.7174887892376681,0.7679696189007802
final_test,0.3,average_precision,0.7436543516813515,0.8143304551050005
final_test,0.3,brier_score,0.11101354671249411,0.1290414871654361
