segment,group,n,event_rate,precision,recall,f1,roc_auc
AGE,16-25,315,0.7174603174603175,0.7517006802721088,0.9778761061946902,0.85,0.7864422790096449
AGE,26-39,504,0.3472222222222222,0.588495575221239,0.76,0.6633416458852868,0.7944246634824141
AGE,40-64,472,0.15254237288135594,0.573170731707317,0.6527777777777778,0.6103896103896104,0.8390972222222223
AGE,65+,308,0.09090909090909091,0.72,0.6428571428571429,0.6792452830188679,0.9093749999999999
DRIVING_EXPERIENCE,0-9y,572,0.6311188811188811,0.7196652719665272,0.9529085872576177,0.8200238379022646,0.781347231886151
DRIVING_EXPERIENCE,10-19y,526,0.23574144486692014,0.5067567567567568,0.6048387096774194,0.5514705882352942,0.7880556892954581
DRIVING_EXPERIENCE,20-29y,334,0.041916167664670656,0.0,0.0,0.0,0.5474330357142858
DRIVING_EXPERIENCE,30y+,167,0.011976047904191617,0.0,0.0,0.0,0.6409090909090909
VEHICLE_YEAR,after 2015,473,0.12896405919661733,0.7272727272727273,0.39344262295081966,0.5106382978723404,0.8617300652554513
VEHICLE_YEAR,before 2015,1126,0.3907637655417407,0.664983164983165,0.8977272727272727,0.7640232108317214,0.8733567452955208
VEHICLE_OWNERSHIP,0.0,514,0.5739299610894941,0.7291666666666666,0.9491525423728814,0.8247422680412371,0.8508784149833605
VEHICLE_OWNERSHIP,1.0,1085,0.18986175115207374,0.5720164609053497,0.6747572815533981,0.6191536748329621,0.8577819013221113
