threshold,accuracy,precision,recall,f1,specificity,false_positive_rate,false_negative_rate,tn,fp,fn,tp,predicted_positives
0.05,0.5991244527829893,0.43727598566308246,0.9740518962075848,0.603586889301175,0.42805100182149364,0.5719489981785064,0.02594810379241517,470,628,13,488,1116
0.1,0.6416510318949343,0.4654510556621881,0.9680638722554891,0.6286454957874271,0.49271402550091076,0.5072859744990893,0.031936127744510975,541,557,16,485,1042
0.15,0.6791744840525328,0.4938650306748466,0.9640718562874252,0.6531440162271805,0.5491803278688525,0.45081967213114754,0.03592814371257485,603,495,18,483,978
0.2,0.7504690431519699,0.562962962962963,0.9101796407185628,0.6956521739130435,0.6775956284153005,0.3224043715846995,0.08982035928143713,744,354,45,456,810
0.25,0.8005003126954346,0.6354166666666666,0.8522954091816367,0.7280477408354646,0.7768670309653917,0.22313296903460839,0.14770459081836326,853,245,74,427,672
0.3,0.8186366479049406,0.6682615629984051,0.8363273453093812,0.7429078014184397,0.8105646630236795,0.1894353369763206,0.16367265469061876,890,208,82,419,627
0.35,0.8198874296435272,0.6720516962843296,0.8303393213572854,0.7428571428571429,0.8151183970856102,0.1848816029143898,0.16966067864271456,895,203,85,416,619
0.4,0.8192620387742339,0.6726384364820847,0.8243512974051896,0.7408071748878924,0.8169398907103825,0.1830601092896175,0.17564870259481039,897,201,88,413,614
0.45,0.8161350844277674,0.6716417910447762,0.8083832335329342,0.7336956521739131,0.819672131147541,0.18032786885245902,0.19161676646706588,900,198,96,405,603
0.5,0.8142589118198874,0.6795774647887324,0.7704590818363274,0.7221702525724977,0.8342440801457195,0.1657559198542805,0.22954091816367264,916,182,115,386,568
0.55,0.8117573483427142,0.7040816326530612,0.688622754491018,0.6962663975782039,0.8679417122040073,0.1320582877959927,0.31137724550898205,953,145,156,345,490
0.6,0.8098811757348343,0.7444168734491315,0.5988023952095808,0.6637168141592921,0.9061930783242259,0.09380692167577413,0.40119760479041916,995,103,201,300,403
0.65,0.8048780487804879,0.8362989323843416,0.469061876247505,0.6010230179028133,0.9581056466302368,0.04189435336976321,0.530938123752495,1052,46,266,235,281
0.7,0.7923702313946216,0.8722466960352423,0.39520958083832336,0.5439560439560439,0.9735883424408015,0.026411657559198543,0.6047904191616766,1069,29,303,198,227
0.75,0.7873671044402751,0.8779342723004695,0.37325349301397204,0.5238095238095238,0.97632058287796,0.023679417122040074,0.626746506986028,1072,26,314,187,213
0.8,0.7861163227016885,0.8767772511848341,0.36926147704590817,0.5196629213483146,0.97632058287796,0.023679417122040074,0.6307385229540918,1072,26,316,185,211
0.85,0.7804878048780488,0.8865979381443299,0.34331337325349304,0.4949640287769784,0.9799635701275046,0.020036429872495445,0.656686626746507,1076,22,329,172,194
0.9,0.7235772357723578,0.927536231884058,0.1277445109780439,0.22456140350877193,0.9954462659380692,0.004553734061930784,0.872255489021956,1093,5,437,64,69
