parameter,change_pct,annual_net_benefit
annual_applications,-30.0,44493.899999999994
annual_applications,0.0,71277.0
annual_applications,30.0,98060.1
manual_review_minutes,-30.0,17277.0
manual_review_minutes,0.0,71277.0
manual_review_minutes,30.0,125277.0
ai_assisted_review_minutes,-30.0,87732.15000000001
ai_assisted_review_minutes,0.0,71277.0
ai_assisted_review_minutes,30.0,54821.84999999999
underwriter_hourly_cost,-30.0,33732.14999999998
underwriter_hourly_cost,0.0,71277.0
underwriter_hourly_cost,30.0,108821.84999999999
false_positive_cost,-30.0,74832.0
false_positive_cost,0.0,71277.0
false_positive_cost,30.0,67722.0
false_negative_cost,-30.0,72897.0
false_negative_cost,0.0,71277.0
false_negative_cost,30.0,69657.0
implementation_cost,-30.0,71277.0
implementation_cost,0.0,71277.0
implementation_cost,30.0,71277.0
annual_maintenance_cost,-30.0,76677.0
annual_maintenance_cost,0.0,71277.0
annual_maintenance_cost,30.0,65877.0
