total_cases,automated_cases,manual_review_cases,automation_rate,manual_review_rate,threshold,tn,fp,fn,tp,baseline_manual_cost,ai_assisted_labor_cost,annual_labor_savings,annual_fp_cost,annual_fn_cost,annual_tp_operational_cost,total_error_cost,annual_maintenance_cost,recurring_operating_cost,annual_net_benefit,implementation_cost,year1_roi_pct,recurring_operating_roi_pct,payback_months,manual_hours_before,manual_hours_after,review_hours_saved
12000.0,5427.0,6573.0,0.45225,0.54775,0.05,5421.0,2818.5,6.0,3754.5,180000.0,59156.99999999999,120843.0,14092.5,900.0,18772.5,33765.0,18000.0,110922.0,69078.0,60000.0,15.129999999999999,62.27619408232812,10.423000086858334,4000.0,1314.6,2685.4
12000.0,5905.5,6094.5,0.492125,0.507875,0.1,5869.5,2370.0,36.0,3724.5,180000.0,54850.50000000001,125149.5,11850.0,5400.0,18622.5,35872.5,18000.0,108723.0,71277.0,60000.0,18.795,65.5583455202671,10.101435245591144,4000.0,1218.9,2781.1
12000.0,6391.5,5608.5,0.532625,0.467375,0.15,6295.5,1944.0,96.0,3664.5,180000.0,50476.5,129523.5,9720.0,14400.0,18322.5,42442.5,18000.0,110919.0,69081.0,60000.0,15.135000000000002,62.280583128228706,10.422547444304513,4000.0,1121.7,2878.3
12000.0,6577.5,5422.5,0.548125,0.451875,0.2,6451.5,1788.0,126.0,3634.5,180000.0,48802.5,131197.5,8940.0,18900.0,18172.5,46012.5,18000.0,112815.0,67185.0,60000.0,11.975,59.55325089748703,10.71667782987274,4000.0,1084.5,2915.5
12000.0,6822.0,5178.0,0.5685,0.4315,0.25,6642.0,1597.5,180.0,3580.5,180000.0,46601.99999999999,133398.0,7987.5,27000.0,17902.5,52890.0,18000.0,117492.0,62508.0,60000.0,4.18,53.201920130732304,11.518525628719523,4000.0,1035.6,2964.4
12000.0,7080.0,4920.0,0.59,0.41,0.3,6816.0,1423.5,264.0,3496.5,180000.0,44280.0,135720.0,7117.5,39600.0,17482.5,64200.0,18000.0,126480.0,53520.0,60000.0,-10.8,42.314990512333964,13.452914798206278,4000.0,984.0,3016.0
12000.0,7194.0,4806.0,0.5995,0.4005,0.35,6886.5,1353.0,307.5,3453.0,180000.0,43254.0,136746.0,6765.0,46125.0,17265.0,70155.0,18000.0,131409.0,48591.0,60000.0,-19.015,36.97691938908294,14.817558807186517,4000.0,961.2,3038.8
12000.0,7425.0,4575.0,0.61875,0.38125,0.4,7045.5,1194.0,379.5,3381.0,180000.0,41175.0,138825.0,5970.0,56925.0,16905.0,79800.0,18000.0,138975.0,41025.0,60000.0,-31.624999999999996,29.51969778737183,17.550274223034734,4000.0,915.0,3085.0
12000.0,7567.5,4432.5,0.630625,0.369375,0.45,7120.5,1119.0,447.0,3313.5,180000.0,39892.5,140107.5,5595.0,67050.0,16567.5,89212.5,18000.0,147105.0,32895.0,60000.0,-45.175,22.36157846436219,21.887824897400822,4000.0,886.5,3113.5
12000.0,7800.0,4200.0,0.65,0.35,0.5,7237.5,1002.0,562.5,3198.0,180000.0,37800.0,142200.0,5010.0,84375.0,15990.0,105375.0,18000.0,161175.0,18825.0,60000.0,-68.625,11.679851093531875,38.24701195219124,4000.0,840.0,3160.0
12000.0,8250.0,3750.0,0.6875,0.3125,0.55,7461.0,778.5,789.0,2971.5,180000.0,33750.0,146250.0,3892.5,118350.0,14857.5,137100.0,18000.0,188850.0,-8850.0,60000.0,-114.75,-4.686258935663225,,4000.0,750.0,3250.0
12000.0,8589.0,3411.0,0.71575,0.28425,0.6,7603.5,636.0,985.5,2775.0,180000.0,30699.000000000004,149301.0,3180.0,147825.0,13875.0,164880.0,18000.0,213579.0,-33579.0,60000.0,-155.965,-15.722051325270742,,4000.0,682.2,3317.8
12000.0,9064.5,2935.5,0.755375,0.244625,0.65,7801.5,438.0,1263.0,2497.5,180000.0,26419.5,153580.5,2190.0,189450.0,12487.5,204127.5,18000.0,248547.0,-68547.0,60000.0,-214.245,-27.579089669157142,,4000.0,587.1,3412.9
12000.0,9661.5,2338.5,0.805125,0.194875,0.7,8020.5,219.0,1641.0,2119.5,180000.0,21046.5,158953.5,1095.0,246150.0,10597.5,257842.5,18000.0,296889.0,-116889.0,60000.0,-294.815,-39.371280175419095,,4000.0,467.7,3532.3
12000.0,9907.5,2092.5,0.825625,0.174375,0.75,8083.5,156.0,1824.0,1936.5,180000.0,18832.5,161167.5,780.0,273600.0,9682.5,284062.5,18000.0,320895.0,-140895.0,60000.0,-334.82500000000005,-43.90688542981349,,4000.0,418.5,3581.5
12000.0,9991.5,2008.5,0.832625,0.167375,0.8,8103.0,136.5,1888.5,1872.0,180000.0,18076.5,161923.5,682.5,283275.0,9360.0,293317.5,18000.0,329394.0,-149394.0,60000.0,-348.99,-45.35419588699248,,4000.0,401.7,3598.3
12000.0,10186.5,1813.5,0.848875,0.151125,0.85,8136.0,103.5,2050.5,1710.0,180000.0,16321.5,163678.5,517.5,307575.0,8550.0,316642.5,18000.0,350964.0,-170964.0,60000.0,-384.94,-48.71268848086983,,4000.0,362.7,3637.3
12000.0,10554.0,1446.0,0.8795,0.1205,0.9,8182.5,57.0,2371.5,1389.0,180000.0,13014.0,166986.0,285.0,355725.0,6945.0,362955.0,18000.0,393969.0,-213969.0,60000.0,-456.615,-54.31112600229967,,4000.0,289.2,3710.8
