CITY,REGION,CITYCODE,SUMACCIDEN,DEAD,SEVER_INJ,SLIGH_INJ,SEVERITY_WEIGHTED,CITY_RISK_SCORE,REGION_RISK_SCORE
תל אביב - יפו,תל אביב,5000,21601,106,1193,23328,26032,100.0,65.34
ירושלים,ירושלים,3000,18461,89,1007,22624,24905,95.67,35.33
חיפה,חיפה,4000,11197,48,452,14311,15359,59.0,58.44
יהודה ושומרון,יהודה ושומרון,9999,8434,203,895,12713,15112,58.05,15.96
ראשון לציון,מרכז,8300,8563,49,395,10158,11095,42.62,99.75
באר שבע,דרום,9000,7341,38,284,9794,10476,40.24,63.41
פתח תקווה,מרכז,7900,7279,51,327,8396,9203,35.35,99.75
אשדוד,דרום,70,6846,33,264,8392,9019,34.65,63.41
אשקלון,דרום,7100,6048,18,200,7503,7957,30.57,63.41
נתניה,מרכז,7400,6019,26,245,7194,7762,29.82,99.75
חולון,תל אביב,6600,6193,28,288,6969,7629,29.31,65.34
רמת גן,תל אביב,8600,5095,19,274,5517,6122,23.52,65.34
חדרה,חיפה,6500,3995,23,176,5329,5750,22.09,58.44
סח'נין,צפון,7500,2436,5,24,4846,4909,18.86,100.0
שטח כללי,ירושלים,5526,2605,31,229,3760,4311,16.56,35.33
בני ברק,תל אביב,6100,3645,14,183,3899,4307,16.55,65.34
רמלה,מרכז,8500,3125,9,123,3924,4197,16.12,99.75
רחובות,מרכז,8400,3223,10,132,3881,4175,16.04,99.75
בת ים,תל אביב,6200,3358,18,154,3717,4079,15.67,65.34
נצרת,צפון,7300,2586,14,70,3762,3944,15.15,100.0
עכו,צפון,7600,2502,10,51,3712,3844,14.77,100.0
עפולה,צפון,7700,2538,11,54,3416,3557,13.66,100.0
לוד,מרכז,7000,2558,13,101,3109,3350,12.87,99.75
שטח כללי,צפון,5556,1356,23,70,2706,2915,11.2,100.0
שפרעם,צפון,8800,1731,6,55,2754,2882,11.07,100.0
כרמיאל,צפון,1139,1811,4,51,2741,2855,10.97,100.0
קרית אתא,חיפה,6800,1883,7,72,2638,2803,10.77,58.44
כפר סבא,מרכז,6900,2144,7,101,2577,2800,10.76,99.75
הרצליה,תל אביב,6400,2222,9,99,2485,2710,10.41,65.34
נוף הגליל,צפון,1061,1850,6,50,2459,2577,9.9,100.0
שטח כללי,דרום,5541,1462,28,107,2242,2540,9.76,63.41
מודיעין - מכבים - רעות,מרכז,1200,1902,6,92,2301,2503,9.62,99.75
רמת השרון,תל אביב,2650,1831,11,114,2194,2455,9.43,65.34
טבריה,צפון,6700,1699,6,83,2237,2421,9.3,100.0
שטח כללי,מרכז,5525,1564,19,81,2141,2360,9.07,99.75
טייבה,מרכז,2730,1451,16,65,2044,2222,8.54,99.75
עראבה,צפון,531,1078,4,24,2144,2204,8.47,100.0
טמרה,צפון,8900,1183,5,36,2043,2130,8.18,100.0
ג'דיידה - מכר,צפון,1292,1040,3,20,2024,2073,7.96,100.0
נהריה,צפון,9100,1518,5,41,1932,2029,7.79,100.0
אילת,דרום,2600,1519,7,58,1836,1973,7.58,63.41
ראש העין,מרכז,2640,1476,7,52,1797,1922,7.38,99.75
