AGE,DRIVING_EXPERIENCE,PAST_ACCIDENTS,SPEEDING_VIOLATIONS,DUIS,ANNUAL_MILEAGE,VEHICLE_YEAR,VEHICLE_OWNERSHIP,OUTCOME
3,0,0,0,0,12000.0,1,1,0
0,0,0,0,0,16000.0,0,0,1
0,0,0,0,0,11000.0,0,1,0
0,0,0,0,0,11000.0,0,1,0
1,1,1,2,0,12000.0,0,1,1
2,2,3,3,0,13000.0,1,1,0
3,3,3,7,0,13000.0,1,0,0
1,0,0,0,0,14000.0,1,0,1
2,2,0,0,0,13000.0,0,0,0
2,0,0,0,0,11000.0,0,1,1
3,3,7,6,2,10000.0,1,1,0
3,3,0,4,0,12000.0,1,1,0
2,2,2,4,1,8000.0,0,1,0
0,0,0,0,0,12000.0,0,1,0
1,1,1,0,2,12000.0,0,1,0
1,0,0,0,0,12000.0,1,0,0
3,3,1,10,2,12000.0,0,1,0
0,0,0,0,0,12000.0,0,0,1
1,0,0,0,0,12000.0,0,1,1
0,0,0,0,0,18000.0,0,1,1
0,0,0,0,0,17000.0,0,0,1
0,0,0,0,0,8000.0,1,1,1
2,2,1,3,1,13000.0,0,1,0
0,0,0,0,0,17000.0,0,0,0
3,3,3,13,2,7000.0,0,1,0
1,1,0,0,0,14000.0,0,1,0
2,1,0,1,1,13000.0,0,1,0
1,1,1,0,0,15000.0,0,1,0
1,1,1,0,0,17000.0,1,0,0
3,0,0,0,0,9000.0,1,1,1
2,2,1,2,0,7000.0,1,1,0
3,3,1,3,1,10000.0,0,1,0
0,0,0,0,0,9000.0,0,1,0
0,0,0,0,0,10000.0,0,1,1
1,0,0,0,0,11000.0,0,1,1
0,0,0,0,0,8000.0,1,0,1
1,1,2,3,0,17000.0,0,1,0
2,1,1,2,0,11000.0,0,1,0
3,3,5,6,0,12000.0,1,0,0
2,1,1,1,0,14000.0,0,1,0
3,3,3,5,1,10000.0,0,1,0
2,2,2,4,0,16000.0,1,1,0
2,2,0,10,2,9000.0,1,0,0
0,0,0,0,0,16000.0,0,0,1
1,1,0,1,0,13000.0,0,0,1
2,2,4,3,0,14000.0,0,0,0
3,2,5,7,0,7000.0,1,1,0
2,2,2,3,0,11000.0,1,1,0
1,1,0,1,0,12000.0,0,1,0
1,1,0,1,0,14000.0,0,0,0
2,2,2,3,0,14000.0,0,1,0
1,0,0,0,0,17000.0,0,0,1
3,2,1,9,0,7000.0,1,0,0
0,0,0,0,0,8000.0,0,0,1
0,0,0,0,0,7000.0,0,1,1
1,1,0,0,0,15000.0,1,1,0
0,0,0,0,0,9000.0,0,0,1
2,2,1,2,0,12000.0,1,0,0
2,2,0,0,0,12000.0,1,1,0
1,1,0,0,1,16000.0,0,1,0
2,2,1,3,0,12000.0,0,0,0
1,1,1,2,0,8000.0,0,1,0
2,2,0,2,0,7000.0,0,1,0
0,0,0,0,0,15000.0,0,1,1
2,2,1,1,0,12000.0,0,1,0
2,0,0,0,0,12000.0,0,1,0
2,1,0,0,0,11000.0,0,1,0
2,0,0,0,0,15000.0,0,1,1
3,2,4,4,1,5000.0,0,1,0
3,1,0,2,0,10000.0,0,1,0
3,2,7,2,1,12000.0,0,0,1
1,0,0,0,0,12000.0,1,0,1
2,2,7,5,0,12000.0,0,1,0
1,1,0,2,0,9000.0,0,1,0
0,0,0,0,0,16000.0,0,1,0
1,0,0,0,0,12000.0,0,1,0
2,0,0,0,0,14000.0,1,1,0
2,2,1,0,0,10000.0,0,1,0
2,0,0,0,0,16000.0,1,1,0
0,0,0,0,0,16000.0,0,1,1
2,1,0,0,0,14000.0,1,1,0
2,2,1,2,0,14000.0,0,0,0
0,0,0,0,0,11000.0,0,1,0
1,1,0,0,0,9000.0,1,0,0
1,1,2,1,0,13000.0,0,1,0
1,1,0,0,0,14000.0,1,1,0
0,0,0,0,0,14000.0,0,0,1
2,2,6,0,0,16000.0,0,0,0
3,1,1,3,1,9000.0,0,1,0
0,0,0,0,0,12000.0,0,1,1
3,3,3,6,1,14000.0,0,1,0
2,2,6,4,0,7000.0,1,1,0
1,0,0,0,0,12000.0,1,1,0
2,2,2,3,0,15000.0,0,0,0
2,1,0,0,0,13000.0,0,0,1
2,0,0,0,0,13000.0,0,1,0
1,1,0,2,0,15000.0,0,1,0
3,2,2,8,0,9000.0,1,1,0
2,2,2,1,0,14000.0,1,0,0
1,1,0,3,1,11000.0,1,1,0
2,2,2,1,0,11000.0,1,1,0
0,0,0,0,0,12000.0,0,1,1
0,0,0,0,0,12000.0,0,0,0
1,0,0,0,0,14000.0,0,0,0
0,0,0,0,0,11000.0,0,0,1
0,0,0,0,0,14000.0,0,0,1
1,1,1,2,0,13000.0,0,1,0
2,1,0,0,0,14000.0,1,1,0
3,3,3,4,1,10000.0,1,0,0
0,0,0,0,0,13000.0,0,1,1
3,3,2,12,2,10000.0,0,1,0
3,3,2,2,0,11000.0,0,1,0
0,0,0,0,0,15000.0,0,0,1
0,0,0,0,0,14000.0,1,1,1
0,0,0,0,0,15000.0,0,0,1
0,0,0,0,0,10000.0,0,0,1
0,0,0,0,0,9000.0,0,1,1
1,1,0,3,0,12000.0,0,1,0
2,1,1,5,0,7000.0,0,1,0
0,0,0,0,0,17000.0,0,1,1
0,0,0,0,0,11000.0,0,1,0
