feature,importance,importance_type
policy_tenure,0.3699703097846527,tree_importance
age_of_car,0.2720415370041596,tree_importance
age_of_policyholder,0.09759711044255923,tree_importance
area_cluster__freq,0.07191253159824584,tree_importance
population_density,0.07020733316409904,tree_importance
power_to_weight,0.007828110246578297,tree_importance
model__freq,0.006781812169972415,tree_importance
torque_nm,0.006577554267528462,tree_importance
vehicle_volume_proxy,0.0065357928510738315,tree_importance
height,0.006459843507109181,tree_importance
power_bhp,0.006417504301828831,tree_importance
gross_weight,0.005678389585004432,tree_importance
engine_type__freq,0.005375797024496976,tree_importance
displacement,0.005298565777776584,tree_importance
cylinder,0.004850846089643849,tree_importance
segment__A,0.004593722024322032,tree_importance
torque_to_weight,0.004543655311607966,tree_importance
width,0.004529976904622257,tree_importance
length,0.0041940341059964765,tree_importance
turning_radius,0.004072353786983863,tree_importance
