feature,gini_importance,perm_importance_mean,perm_importance_std,gini_rank,perm_rank
policy_tenure,0.3699703097846527,0.08195065251831486,0.009939713908938603,1,1
age_of_car,0.2720415370041596,0.0735790486808167,0.004373368944493089,2,2
age_of_policyholder,0.09759711044255923,0.004730065593599964,0.002700942171296347,3,3
area_cluster__freq,0.07191253159824584,0.002874987129602896,0.0017559044792259243,4,4
population_density,0.07020733316409904,0.0007905073575408927,0.002008098145528803,5,5
power_to_weight,0.007828110246578297,0.000670401677521032,0.00042349280824651527,6,7
model__freq,0.006781812169972415,0.00020240592064217356,0.00031816812019546927,7,17
torque_nm,0.006577554267528462,0.0007450013108336762,0.0005376416638754409,8,6
vehicle_volume_proxy,0.0065357928510738315,0.0006092078065122131,0.0006618553813825325,9,9
height,0.006459843507109181,-0.000440838137560573,0.0003974946301026336,10,60
power_bhp,0.006417504301828831,0.0006262908251156773,0.00043559742308549613,11,8
gross_weight,0.005678389585004432,0.00010474231950940993,0.00053418782139794,12,23
engine_type__freq,0.005375797024496976,0.0003157248996974116,0.0003594999287759014,13,13
displacement,0.005298565777776584,0.00015373094424152024,0.0004948866445208314,14,18
cylinder,0.004850846089643849,-0.0001751077003477708,0.0011391956998667468,15,53
segment__A,0.004593722024322032,0.0003302122079717418,0.0005165133059993294,16,11
torque_to_weight,0.004543655311607966,-0.00011396790663754098,0.00043493367150007384,17,47
width,0.004529976904622257,0.0002321213961806512,0.0006090645355630083,18,16
length,0.0041940341059964765,0.0003690883778800058,0.00028490184956064487,19,10
turning_radius,0.004072353786983863,0.00010622944521876954,0.0003865829155565769,20,21
torque_rpm,0.003335851424008429,-0.00016127472738557412,0.00029996461799865974,21,52
ncap_rating,0.0028806375134139716,0.00023940560829169844,0.000358890107591181,22,15
is_adjustable_steering,0.0028577088542381212,-0.00046906648738965215,0.0006338570306634691,23,61
power_rpm,0.002141661758841111,-4.106630049850457e-05,0.0002730559902733952,24,38
safety_feature_count,0.0021069598475737736,-1.3221899488941036e-05,0.0003774185354928329,25,34
is_brake_assist,0.0019145834981204115,-0.00020421751014277346,0.0002445836538052927,26,55
is_power_door_locks,0.0018589343638579288,-8.42632465588078e-05,0.00020244932887984843,27,45
steering_type__Electric,0.001012527788515517,0.00013352766551326666,0.00017254924688323773,28,19
is_front_fog_lights,0.0009230661508344874,-0.0001463007234244973,0.00021510502647755484,29,51
transmission_type__Manual,0.0009105821209887858,-3.151624957933308e-05,0.0001769746676013684,30,37
steering_type__Power,0.0009104972821186075,0.0002571808163162492,0.0002576994431867701,31,14
parking_assist_score,0.0008461041826956434,-0.0001205328906782599,0.00013825818649489813,32,48
fuel_type__Petrol,0.0008216333001254818,1.547692283727642e-05,0.00020679083128098393,33,30
fuel_type__CNG,0.0007335442708710142,0.00011111262527543908,0.00012279338867730912,34,20
segment__B2,0.0007287587804930375,-0.00032354447706391397,0.00010120108058691009,35,58
is_parking_camera,0.0007148899564382893,1.465494789942845e-06,0.00022568558495490994,36,33
is_driver_seat_height_adjustable,0.0006755169249718651,1.5336321861125768e-05,0.0001728266318540849,37,31
is_rear_window_defogger,0.0006305960610416002,-0.0002814831542726326,0.0001897729064141902,38,57
transmission_type__Automatic,0.0006255868973474244,1.643409102114468e-05,0.00010327534875372412,39,29
is_esc,0.0006140964887264677,1.057211186122342e-05,9.029276591457786e-05,40,32
airbags,0.0005944630785931936,-5.5640132450512915e-05,0.0001063254717455646,41,42
is_day_night_rear_view_mirror,0.0005505218219228656,6.13777338237087e-05,0.00011409001550285058,42,25
is_speed_alert,0.0005353999275652558,-7.43454700096291e-05,7.127891281367197e-05,43,44
make__1,0.000508749222221819,7.545405462927035e-05,0.00035691916053128263,44,24
segment__C1,0.0004897188878186401,3.1072815731358895e-05,0.00013307736074863032,45,27
fuel_type__Diesel,0.00047301898879748873,-0.0003680338705589092,9.734999590815254e-05,46,59
segment__B1,0.00045210942995825863,0.00031939674826709786,0.00013896170609385084,47,12
make__5,0.0004259846351252985,-2.6524914925635246e-05,4.602663551340726e-05,48,36
is_parking_sensors,0.00041518444811632825,-0.00018158616071086152,9.878977581417136e-05,49,54
is_rear_window_wiper,0.0003781580078040894,-0.00014028732782874753,0.0001222141055532997,50,50
make__4,0.000374737078238674,-5.538056141757286e-05,4.2750619806696455e-05,51,41
gear_box,0.0002895342868023002,0.0001056075562857639,0.00017107313336184549,52,22
make__2,0.0002638583083124306,-1.774276164548394e-05,5.461247582757672e-05,53,35
make__3,0.0002564700518078791,-0.0001227013903490004,5.113735893321636e-05,54,49
rear_brakes_type__Drum,0.00022959092785027578,-0.00026137721468173504,7.283883384331709e-05,55,56
segment__Utility,0.00021165940698698573,-0.00010027553465148942,3.7076324619195255e-05,56,46
segment__C2,0.00019814429750637452,-6.472511860238228e-05,5.140629610678942e-05,57,43
rear_brakes_type__Disc,0.00018700629021114855,-4.1190678285096814e-05,9.374316950049879e-05,58,39
steering_type__Manual,0.0001769983658417622,2.2923366843913272e-05,2.916002130816741e-05,59,28
is_power_steering,0.0001736388676923407,-4.791789422138315e-05,2.695909212686127e-05,60,40
is_tpms,0.0001045362573428667,4.4970681451783624e-05,5.033531213850428e-05,61,26
